#ZVView-data-copy:  11-Feb-2026 04:36:54
#=======================================
#
#name:   ENDF/B-VIII.1:BE-9 Ei2.00E+6 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  6
#data...
#            X            Y
#          MeV      b/eV/sr
           4.2    4.4058e-9 
           4.4    2.3642e-9 
           4.6    2.1105e-9 
           4.8     2.408e-9 
             5    1.5157e-9 
           5.2    1.6846e-9 
           5.4    3.1781e-9 
           5.6    2.0207e-9 
           5.8    2.0158e-9 
             6    1.6048e-9 
           6.2    1.3167e-9 
           6.4    1.7235e-9 
           6.6    2.6204e-9 
           6.8    3.1968e-9 
             7    2.0829e-9 
           7.2    1.8504e-9 
           7.4    1.8507e-9 
           7.6    1.7938e-9 
           7.8    2.1631e-9 
             8    1.5298e-9 
           8.2    1.5574e-9 
           8.4    1.8182e-9 
           8.6   8.8737e-10 
           8.8   5.3822e-10 
             9   7.1315e-10 
           9.2    1.1895e-9 
           9.4     1.222e-9 
           9.6   3.5905e-10 
           9.8   4.9051e-10 
            10   7.8383e-10 
          10.2   7.0678e-11 
          10.4    2.078e-10 
          10.6   3.7283e-10 
            11    6.1636e-9 
          11.2    4.1559e-9 
          11.8   5.6542e-11 
//
#-------------------------------------------------------------------------------
